agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Colorado Division of Wildlife - Law Enforcement Division,-9.0,Special jurisdiction,CO,Jefferson,Denver,80216,8059,,
Ellendale Police Dept,-9.0,Local police department,DE,Sussex,Ellendale,19941,10005,,
Florida Gulf Coast University Police,-9.0,Special jurisdiction,FL,Lee,Fort Myers,33965,12071,,
Florida State University - Panama City Police,-9.0,Special jurisdiction,FL,Bay,Panama City,32405,12005,,
Florida Dept of Agriculture and Consumer Services,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Dept of BPR - Division of Alcoholic Beverages & Tobacco,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Dept of Environmental Protection,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Dept of Financial Services - Insurance Fraud Division,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Dept of Juvenile Justice,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Dept of Law Enforcement,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Dept of Law Enforcement - Capitol Police,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Dept of Transportation - Motor Carrier Compliance,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Division of State Fire Marshal,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Fish and Wildlife Conservation Commission,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Indiana State Fire Marshal,-9.0,Special jurisdiction,IN,Marion,Indianapolis,46204,18097,,
East Jefferson Levee District Police,-9.0,Special jurisdiction,LA,Jefferson,Kenner,70062,22051,,
Pontchartrain Levee District Police,-9.0,Special jurisdiction,LA,St. James,Lutcher,70071,22093,,
Massachusetts College of Liberal Arts Police,-9.0,Special jurisdiction,MA,Berkshire,North Adams,1247,25003,,
Wood Heights Police Dept,-9.0,Local police department,MO,Ray,Wood Heights,64024,29177,,
Norlina Police Dept,-9.0,Local police department,NC,Warren,Norlina,27563,37185,,
Winfall Police Department,-9.0,Local police department,NC,Perquimans,Winfall,27985,37143,,
Haverstraw Village Police Dept,-9.0,Local police department,NY,Rockland,Haverstraw,11550,36087,,
Monroe Community College Police,-9.0,Special jurisdiction,NY,Monroe,Rochester,14623,36055,,
Lawrence County Detectives,-9.0,Special jurisdiction,PA,Lawrence,New Castle,16101,42073,,
School District of Philadelphia Police,-9.0,Special jurisdiction,PA,Philadelphia,Philadelphia,19130,42101,,
Cheyenne River Tribal Fish/Game/Parks Police,-9.0,Special jurisdiction,SD,Dewey,Eagle Butte,57625,46041,,
Oglala Sioux Tribal Dept of Public Safety,-9.0,Local police department,SD,Shannon,Pine Ridge,57770,46113,,
University of Texas - Arlington Police,-9.0,Special jurisdiction,TX,Tarrant,Arlington,76031,48439,,
University of Texas - Austin Police,-9.0,Special jurisdiction,TX,Travis,Austin,78705,48453,,
Port of Beaumont Authority Police,-9.0,Special jurisdiction,TX,Jefferson,Beaumont,77701,48245,,
University of Texas - SW Medical Center (Dallas) Police,-9.0,Special jurisdiction,TX,Dallas,Dallas,75390,48113,,
University of Texas - Pan American Police,-9.0,Special jurisdiction,TX,Hidalgo,Edinburgh,78539,48215,,
Ysleta Del Sur Tribal Police,-9.0,Local police department,TX,El Paso,El Paso,79917,48141,,
University of Texas - El Paso Police,-9.0,Special jurisdiction,TX,El Paso,El Paso,79968,48141,,
Port of Galveston Authority Police,-9.0,Special jurisdiction,TX,Galveston,Galveston,77553,48167,,
Port of Houston Authority Police,-9.0,Special jurisdiction,TX,Harris,Houston,77029,48201,,
East Texas Regional Airport Police,-9.0,Special jurisdiction,TX,Gregg,Longview,75603,48183,,
University of Texas - San Antonio Police,-9.0,Special jurisdiction,TX,Bexar,San Antonio,78249,48029,,
San Augustine Police Dept,-9.0,Local police department,TX,San Augustine,San Augustine,75972,48405,,
University of Texas - Tyler Police,-9.0,Special jurisdiction,TX,Smith,Tyler,75708,48423,,
Southside Virginia Training Center Police Dept,-9.0,Special jurisdiction,VA,Petersburg City,Petersburg,23803,51730,,
Spokane Tribal Police Department,-9.0,Local police department,WA,Stevens,Wellpinit,99040,53065,,
Wisconsin State Fair Park Police,-9.0,Special jurisdiction,WI,Milwaukee,West Allis,53214,55079,,
Penn Township Police Department,-9.0,Local police department,PA,Perry,Duncannon,17020,42099,,
Pensacola State College,-9.0,Special jurisdiction,FL,Escambia,Pensacola,32504,12033,,
Ashland Police Dept,-9.0,Local police department,IL,Cass,Ashland,62612,17017,,
La Plata Police Dept,-9.0,Local police department,MO,Macon,La Plata,63549,29121,,
Pocahontas Police Dept,-9.0,Local police department,IL,Bond,Pocahontas,62275,17005,,
Florida Community College at Jacksonville Police,-9.0,Special jurisdiction,FL,Duval,Jacksonville,32202,12031,,
Abingdon Police Dept,-9.0,Local police department,IL,Knox,Abingdon,61410,17095,,
Bement Police Dept,-9.0,Local police department,IL,Piatt,Bement,61813,17147,,
Indian Head Park Police Dept,-9.0,Local police department,IL,Cook,Indian Head Park,60525,17031,,
Falfurrias Police Dept,-9.0,Local police department,TX,Brooks,Falfurrias,78355,48047,,
Florida School for Deaf and Blind Campus Police and Safety,-9.0,Special jurisdiction,FL,Leon,St. Augustine,32084,12073,,
Windfall Police Dept,-9.0,Local police department,IN,Tipton,Windfall,46076,18159,,
Thomson Police Dept,-9.0,Local police department,IL,Carroll,Thomson,61285,17015,,
Utah Transit Authority Police,-9.0,Special jurisdiction,UT,Salt Lake,South Salt Lake City,84115,49035,,
Broward Community College,-9.0,Special jurisdiction,FL,Broward,Fort Lauderdale,33301,12011,,
West Carthage Police Dept,-9.0,Local police department,NY,Jefferson,West Carthage,13619,36045,,
Broadview Police Dept,-9.0,Local police department,IL,Cook,Broadview,60155,17031,,
Bald Head Island Department of Public Safety,-9.0,Local police department,NC,Brunswick,Bald Head Island,28461,37019,,
Boston School Police,-9.0,Special jurisdiction,MA,Suffolk,Boston,2108,25025,,
Sheffield Police Dept,-9.0,Local police department,IL,Bureau,Sherffield,61361,17011,,
Santa Fe College Police,-9.0,Special jurisdiction,FL,Alachua,Gainesville,32606,12001,,
University of Texas - Galveston Medical Center Police,-9.0,Special jurisdiction,TX,Galveston,Galveston,77555,48167,,
Southgate Police Dept,-9.0,Local police department,KY,Campbell,Southgate,41071,21037,,
Forest Police Dept,-9.0,Local police department,LA,West Carroll,Oak Grove,71263,22123,,
University of Houston (University Park) Police,-9.0,Special jurisdiction,TX,Harris,Houston,77204,48201,,
University of Central Florida Police,-9.0,Special jurisdiction,FL,Orange,Orlando,32816,12095,,
University of South Florida Police,-9.0,Special jurisdiction,FL,Hillsborough,Tampa,33620,12057,,
McMechen Police Department,-9.0,Local police department,WV,Marshall,McMechen,26040,54051,,
Port Barre Police Dept,-9.0,Local police department,LA,St. Landry,Port Barre,70577,22097,,
Florida Supreme Court - Office of the Marshal,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Hempstead I.S.D. Police,-9.0,Special jurisdiction,TX,Waller,Hempstead,77445,48473,,
New College of Florida,-9.0,Special jurisdiction,FL,Sarasota,Sarasota,34243,12115,,
Indianapolis Park Rangers,-9.0,Special jurisdiction,IN,Marion,Indianapolis,46254,18097,,
Gardiner Police Dept,-9.0,Local police department,ME,Kennebec,Gardiner,4345,23011,,
Eau Claire Police Department,-9.0,Local police department,MI,Berrien,Eau Claire,49111,26021,,
Norfolk State University Police,-9.0,Special jurisdiction,VA,Norfolk City,Norfolk,23504,51710,,
University of Texas - San Antonio Health Sciences Center Police,-9.0,Special jurisdiction,TX,Bexar,San Antonio,78229,48029,,
Florida Atlantic University Police,-9.0,Special jurisdiction,FL,Palm Beach,Boca Raton,33431,12099,,
Buffalo Springs Lake Police Dept,-9.0,Local police department,TX,Lubbock,Lubbock,79404,48303,,
University of West Florida Police,-9.0,Special jurisdiction,FL,Escambia,Pensacola,32514,12033,,
University of Florida Police,-9.0,Special jurisdiction,FL,Alachua,Gainesville,32611,12001,,
University of North Florida Police,-9.0,Special jurisdiction,FL,Duval,Jacksonville,32224,12031,,
Louisiana Office of State Parks,-9.0,Special jurisdiction,LA,Iberville,Baton Rouge,70808,22047,,
New York City Parks Enforcement Patrol,-9.0,Special jurisdiction,NY,New York,New York,10021,36061,,
Florida Attorney General - Child Predator Cyber Crime Unit,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Florida Attorney General - Medicaid Fraud Unit,-9.0,Special jurisdiction,FL,Leon,Tallahassee,32399,12073,,
Clarion University Police,-9.0,Local police department,PA,Clarion,Clarion,16214,42031,,
Jeffersonville Police,-9.0,Local police department,IN,Clark,Jeffersonville,47130,18019,,
Wagoner Police Department,-9.0,Local police department,OK,Wagoner,Wagoner,74467,40145,,
Grey Forest Police Department,-9.0,Local police department,TX,Bexar,Helotes,78023,48029,,
Bayview Police Department,-9.0,Local police department,OH,Erie,Bayview,44870,39043,,
Benton Borough Police Department,-9.0,Local police department,PA,Columbia,Benton,17814,42037,,
Lyon Police Department,-9.0,Local police department,MS,Coahoma,Lyon,38645,28027,,
Newland Police Department,-9.0,Local police department,NC,Avery,Newland,28657,37011,,
Big Sandy Police Department,-9.0,Local police department,TN,Benton,Big Sandy,38221,47005,,
Spink County Sheriff's Office,-9.0,Sheriff's office,SD,Spink,Redfield,57469,46115,,
Mandeville Police Department,-9.0,Local police department,LA,St. Tammany,Mandeville,70448,22103,,
Smithfield Police Department,-9.0,Local police department,OH,Jefferson,Smithfield,43948,39081,,
Halifax Area Regional Police Department,-9.0,Local police department,PA,Dauphin,Halifax,17032,42043,,
Walton Police,-9.0,Local police department,IN,Cass,Walton,46994,18017,,
Athens Village Police Department,-9.0,Local police department,NY,Greene,Athens,12015,36039,,
Norway Township Police Department,-9.0,Local police department,WI,Racine,Wind Lake,53185,55101,,
Goshen Police,-9.0,Local police department,IN,Elkhart,Goshen,46528,18039,,
Racine Police Department,-9.0,Local police department,OH,Meigs,Racine,45771,39105,,
Prineville Police Department,-9.0,Local police department,OR,Crook,Prineville,97754,41013,,
Orange Police Department,-9.0,Local police department,TX,Orange,Orange,77630,48361,,
Mound City Police Department,-9.0,Local police department,KS,Linn,Mound City,66056,20107,,
Cuyahoga Heights Police Department,-9.0,Local police department,OH,Cuyahoga,Cuyahoga Heights,44125,39035,,
Gracemont Police Department,-9.0,Local police department,OK,Caddo,Gracemont,73042,40015,,
Dunbar Police Department,-9.0,Local police department,WV,Kanawha,Dunbar,25064,54039,,
Bude Police Department,-9.0,Local police department,MS,Franklin,Bude,39630,28037,,
Woodstock Police Dept.,-9.0,Local police department,VT,Windsor,Woodstock,5091,50027,,
Palmyra Police Dept,-9.0,Local police department,IL,Macoupin,Palmyra,62674,17117,,
Afton Village Police Department,-9.0,Local police department,NY,Chenango,Afton,13730,36017,,
Meridian Hills Police,-9.0,Local police department,IN,Marion,Indianapolis,46240,18097,,
Trousdale County Sheriff's Office,-9.0,Sheriff's office,TN,Trousdale,Hartsville,37074,47169,,
Polk County Sheriff's Office,-9.0,Sheriff's office,NE,Polk,Osceola,68651,31143,,
Advance Police Department,-9.0,Local police department,MO,Stoddard,Advance,63730,29207,,
Blythe Township Police Department,-9.0,Local police department,PA,Schuylkill,Cumbola,17930,42107,,
Trenton Police,-9.0,Local police department,NJ,Mercer,Trenton,8609,34021,,
Lake City Borough Police Department,-9.0,Local police department,PA,Erie,Lake City,16423,42049,,
Trenton Township Police Department,-9.0,Local police department,WI,Washington,West Bend,53095,55131,,
Galesburg Police Department,-9.0,Local police department,MI,Kalamazoo,Galesburg,49053,26077,,
Owosso Police Department,-9.0,Local police department,MI,Shiawassee,Owosso,48867,26155,,
Millbury Police Department,-9.0,Local police department,MA,Worcester,Millbury,1527,25027,,
Iuka Police Department,-9.0,Local police department,MS,Tishomingo,Iuka,38852,28141,,
Morristown Police Department,-9.0,Local police department,MN,Rice,Morristown,55052,27131,,
East Taylor Township Police Department,-9.0,Local police department,PA,Cambria,Johnstown,15909,42021,,
Rainelle Police Department,-9.0,Local police department,WV,Greenbrier,Rainelle,25962,54025,,
Eskridge Police Department,-9.0,Local police department,KS,Wabaunsee,Eskridge,66423,20197,,
Shirley Police,-9.0,Local police department,IN,Hancock,Shirley,47384,18059,,
Woodway Police Department,-9.0,Local police department,WA,Snohomish,Woodway,98020,53061,,
Salem Police Dept,-9.0,Local police department,IL,Marion,Salem,62881,17121,,
Oakbrook Terrace Police Dept,-9.0,Local police department,IL,Du Page,Oakbrook Terrace,60181,17043,,
Wabasha Police Department,-9.0,Local police department,MN,Wabasha,Wabasha,55981,27157,,
Caledonia Village Police Department,-9.0,Local police department,NY,Livingston,Caledonia,14423,36051,,
Benton County Sheriff's Office,-9.0,Sheriff's office,MS,Benton,Ashland,38603,28009,,
Thomasboro Police Dept,-9.0,Local police department,IL,Champaign,Thomasboro,61878,17019,,
Marion Police Department,-9.0,Local police department,LA,Union,Marion,71260,22111,,
Malden Police Department,-9.0,Local police department,MO,Dunklin,Malden,63863,29069,,
Donnelsville Police Department,-9.0,Local police department,OH,Clark,Donnelsville,45319,39023,,
Quinwood Police Department,-9.0,Local police department,WV,Greenbrier,Quinwood,25981,54025,,
Winter Harbor Police Department,-9.0,Local police department,ME,Hancock,Winter Harbor,4693,23009,,
Marion Police Department,-9.0,Local police department,KY,Crittenden,Marion,42064,21055,,
Belzoni Police Department,-9.0,Local police department,MS,Humphreys,Belzoni,39038,28053,,
Berger Police Department,-9.0,Local police department,MO,Franklin,Hermann,65041,29071,,
Columbia City Police Department,-9.0,Local police department,OR,Columbia,Columbia City,97018,41009,,
Peck Police Department,-9.0,Local police department,MI,Sanilac,Peck,48466,26151,,
Hartford Township Police Department,-9.0,Local police department,OH,Trumbull,Hartford,44424,39155,,
Glenpool Police Department,-9.0,Local police department,OK,Tulsa,Glenpool,74033,40143,,
Waverly Police Dept,-9.0,Local police department,IL,Morgan,Waverly,62692,17137,,
Dover Police,-9.0,Local police department,NJ,Morris,Dover,7801,34027,,
Northville Village Police Department,-9.0,Local police department,NY,Fulton,Northville,12134,36035,,
Ridgeway Police Department,-9.0,Local police department,WI,Iowa,Ridgeway,53582,55049,,
Laramie Police Department,-9.0,Local police department,WY,Albany,Laramie,82070,56001,,
Crowder Police Department,-9.0,Local police department,MS,Quitman,Crowder,38622,28119,,
New Alexandria Police Department,-9.0,Local police department,OH,Jefferson,Mingo Junction,43938,39081,,
Oakdale Borough Police Department,-9.0,Local police department,PA,Allegheny,Oakdale,15071,42003,,
New Florence Borough Police Department,-9.0,Local police department,PA,Westmoreland,New Florence,15944,42129,,
Freer Police Department,-9.0,Local police department,TX,Duval,Freer,78357,48131,,
Columbia County Sheriff's Office,-9.0,Sheriff's office,NY,Columbia,Hudson,12534,36021,,
Marion County Sheriff's Office,-9.0,Sheriff's office,MS,Marion,Columbia,39429,28091,,
Sherburne Village Police Department,-9.0,Local police department,NY,Chenango,Sherburne,13460,36017,,
Tinicum Township Police Department,-9.0,Local police department,PA,Delaware,Essington,19029,42045,,
Milton Police,-9.0,Local police department,IN,Wayne,Milton,47357,18177,,
Fremont Police,-9.0,Local police department,IN,Steuben,Fremont,46737,18151,,
Salemburg Police Department,-9.0,Local police department,NC,Sampson,Salemburg,28385,37163,,
Jefferson Township Police Department,-9.0,Local police department,PA,Lackawanna,Lake Ariel,18436,42069,,
Boyd Police Department,-9.0,Local police department,WI,Chippewa,Boyd,54726,55017,,
Cumberland Gap Police Department,-9.0,Local police department,TN,Claiborne,Cumberland Gap,37724,47025,,
Ladoga Police,-9.0,Local police department,IN,Montgomery,Ladoga,47954,18107,,
Mayfield Police Department,-9.0,Local police department,KY,Graves,Mayfield,42066,21083,,
Duluth Township Police Department,-9.0,Local police department,MN,St. Louis,Duluth,55804,27137,,
Kelleys Island Police Department,-9.0,Local police department,OH,Erie,Kelleys Island,43438,39043,,
Southside Place Police Department,-9.0,Local police department,TX,Harris,Houston,77005,48201,,
Bethany Police Department,-9.0,Local police department,WV,Brooke,Bethany,26032,54009,,
Leadwood Police Department,-9.0,Local police department,MO,St. Francois,Leadwood,63653,29187,,
Southport Police Department,-9.0,Local police department,NC,Brunswick,Southport,28461,37019,,
South Vienna Police Department,-9.0,Local police department,OH,Clark,South Vienna,45369,39023,,
Ashfield Police Department,-9.0,Local police department,MA,Franklin,Ashfield,1330,25011,,
Hillsboro Police Department,-9.0,Local police department,ND,Traill,Hillsboro,58045,38097,,
Springfield Township Police Department,-9.0,Local police department,OH,Mahoning,New Springfield,44443,39099,,
Malone Village Police Department,-9.0,Local police department,NY,Franklin,Malone,12953,36033,,
Butler Police Department,-9.0,Local police department,OK,Custer,Butler,73625,40039,,
Winnsboro Public Safety,-9.0,Local police department,SC,Fairfield,Winnsboro,29180,45039,,
Langhorne Borough Police Department,-9.0,Local police department,PA,Bucks,Langhorne,19047,42017,,
Bradford Police Department,-9.0,Local police department,TN,Gibson,Bradford,38316,47053,,
West Nottingham Township Police Department,-9.0,Local police department,PA,Chester,Nottingham,19362,42029,,
Breathitt County Sheriff's Office,-9.0,Sheriff's office,KY,Breathitt,Jackson,41339,21025,,
Norwalk-Wilton Police Department,-9.0,Local police department,WI,Monroe,Norwalk,54648,55081,,
Burnsville Police Department,-9.0,Local police department,MS,Tishomingo,Burnsville,38833,28141,,
Mount Pleasant Police Department,-9.0,Local police department,OH,Jefferson,Mount Pleasant,43939,39081,,
Altamont Village Police Department,-9.0,Local police department,NY,Albany,Altamont,12009,36001,,
Emily Police Department,-9.0,Local police department,MN,Crow Wing,Emily,56447,27035,,
Ullin Police Dept,-9.0,Local police department,IL,Pulaski,Ullin,62992,17153,,
Pinconning Police Department,-9.0,Local police department,MI,Bay,Pinconning,48650,26017,,
Oxford Township Police,-9.0,Local police department,NJ,Warren,Oxford,7863,34041,,
Fishkill Town Police Department,-9.0,Local police department,NY,Dutchess,Fishkill,12524,36027,,
Battle Ground Police,-9.0,Local police department,IN,Tippecanoe,Battle Ground,47920,18157,,
Monticello Police Dept,-9.0,Local police department,IL,Piatt,Monticello,61856,17147,,
Gainesboro Police Department,-9.0,Local police department,TN,Jackson,Gainesboro,38562,47087,,
Point Police Department,-9.0,Local police department,TX,Rains,Point,75472,48379,,
Fayette County Sheriff's Office,-9.0,Sheriff's office,OH,Fayette,Washington Court House,43160,39047,,
Montpelier Police,-9.0,Local police department,IN,Blackford,Montpelier,47359,18009,,
Dubberly Police Department,-9.0,Local police department,LA,Webster,Dubberly,71024,22119,,
Griffith Police,-9.0,Local police department,IN,Lake,Giffith,46319,18089,,
Amsterdam Police Department,-9.0,Local police department,OH,Carroll,Amsterdam,43903,39019,,
Lykens Borough Police Department,-9.0,Local police department,PA,Dauphin,Lykens,17048,42043,,
Huron Police Department,-9.0,Local police department,OH,Erie,Huron,44839,39043,,
Hitchcock Police Department,-9.0,Local police department,TX,Galveston,Hitchcock,77563,48167,,
Henry County Sheriff's Office,-9.0,Sheriff's office,MO,Henry,Clinton,64735,29083,,
Harrington Park Police,-9.0,Local police department,NJ,Bergen,Harrington Park,7640,34003,,
Bettsville Police Department,-9.0,Local police department,OH,Seneca,Bettsville,44815,39147,,
Dale County Sheriff's Office,-9.0,Sheriff's office,AL,Dale,Ozark,36361,1045,,
Park City Police Dept,-9.0,Local police department,IL,Lake,Park City,60085,17097,,
Blacklick Township Police Department,-9.0,Local police department,PA,Cambria,Belsano,15922,42021,,
Clarksburg Police Department,-9.0,Local police department,TN,Carroll,Clarksburg,38324,47017,,
Norridge Police Dept,-9.0,Local police department,IL,Cook,Norridge,60706,17031,,
Jemez Springs Police Department,-9.0,Local police department,NM,Sandoval,Jemez Springs,87025,35043,,
Coalgate Police Department,-9.0,Local police department,OK,Coal,Coalgate,74538,40029,,
South St. Paul Police Department,-9.0,Local police department,MN,Fillmore,South St. Paul,55075,27045,,
Washington Police Department,-9.0,Local police department,NH,Sullivan,Washington,3280,33019,,
Sherrard Police Dept,-9.0,Local police department,IL,Mercer,Sherrard,61281,17131,,
Branch Township Police Department,-9.0,Local police department,PA,Schuylkill,Llewellyn,17944,42107,,
Fairview Police Department,-9.0,Local police department,WV,Marion,Fairview,26570,54049,,
Maple Park Police Dept,-9.0,Local police department,IL,Kane,Maple Park,60151,17089,,
Otisville Police Department,-9.0,Local police department,MI,Genesee,Otisville,48463,26049,,
Mount Holly Township Police,-9.0,Local police department,NJ,Burlington,Mount Holly,8060,34005,,
Chadron Police Dept,-9.0,Local police department,NE,Dawes,Chadron,69337,31045,,
Wilmer Police Department,-9.0,Local police department,TX,Dallas,Wilmer,75172,48113,,
Plymouth Police,-9.0,Local police department,IN,Marshall,Plymouth,46563,18099,,
Ruma Police Dept,-9.0,Local police department,IL,Randolph,Ruma,62278,17157,,
Miner Police Department,-9.0,Local police department,MO,Scott,Miner,63801,29201,,
Midland Police Department,-9.0,Local police department,MI,Midland,Midland,48640,26111,,
Langhorne Manor Borough Police Department,-9.0,Local police department,PA,Bucks,Langhorne,19047,42017,,
Lanesboro Borough Police Department,-9.0,Local police department,PA,Susquehanna,Lanesboro,18827,42115,,
Englewood Police Department,-9.0,Local police department,TN,McMinn,Englewood,37329,47107,,
Mars Hill Police Department,-9.0,Local police department,NC,Madison,Mars Hill,28754,37115,,
Syracuse Police Department,-9.0,Local police department,OH,Meigs,Syracuse,45779,39105,,
Dover Police Department,-9.0,Local police department,OK,Kingfisher,Dover,73734,40073,,
Friendship Police Department,-9.0,Local police department,TN,Crockett,Friendship,38034,47033,,
Brillion Police Department,-9.0,Local police department,WI,Calumet,Brillion,54110,55015,,
Beaver Dam Township Police Department,-9.0,Local police department,WI,Dodge,Beaver Dam,53916,55027,,
Kimball Police Department,-9.0,Local police department,WV,McDowell,Kimball,24853,54047,,
Hurley Police Department,-9.0,Local police department,MO,Stone,Hurley,65675,29209,,
Collinsville Police Department,-9.0,Local police department,OK,Tulsa,Collinsville,74021,40143,,
Warrick County Sheriff's Office,-9.0,Sheriff's office,IN,Warrick,Boonville,47601,18173,,
Fountain City Police,-9.0,Local police department,IN,Wayne,Fountain City,47341,18177,,
Jonesville Police Department,-9.0,Local police department,LA,Catahoula,Jonesville,71343,22025,,
Greenup Police Department,-9.0,Local police department,KY,Greenup,Greenup,41144,21089,,
Dayton Police Department,-9.0,Local police department,MN,Hennepin,Dayton,55327,27053,,
Frankenmuth Police Department,-9.0,Local police department,MI,Saginaw,Frankenmuth,48734,26145,,
Pembroke Police Department,-9.0,Local police department,NC,Robeson,Pembroke,28372,37155,,
Clay City Police,-9.0,Local police department,IN,Clay,Clay City,47834,18021,,
Metamora Police Dept,-9.0,Local police department,IL,Woodford,Metamora,61548,17203,,
Eagle Bend Police Department,-9.0,Local police department,MN,Todd,Eagle Bend,56446,27153,,
Nunda Town & Village Police Department,-9.0,Local police department,NY,Livingston,Nunda,14517,36051,,
Harrison Town Police Department,-9.0,Local police department,NY,Westchester,Harrison,10528,36119,,
Jordan Village Police Department,-9.0,Local police department,NY,Onondaga,Jordan,13080,36067,,
Norton Police Department,-9.0,Local police department,VA,Norton City,Norton,24273,51720,,
Prairie View Police Department,-9.0,Local police department,TX,Waller,Prairie View,77446,48473,,
Christian County Sheriff's Office,-9.0,Sheriff's office,IL,Christian,Taylorville,62568,17021,,
Yellow Medicine County Sheriff's Office,-9.0,Sheriff's office,MN,Yellow Medicine,Granite Falls,56241,27173,,
Norborne Police Department,-9.0,Local police department,MO,Carroll,Norborne,64668,29033,,
Nevada Police Department,-9.0,Local police department,MO,Vernon,Nevada,64772,29217,,
Freeman Police Department,-9.0,Local police department,MO,Cass,Freeman,64746,29037,,
Merrillan Police Department,-9.0,Local police department,WI,Jackson,Merrillan,54754,55053,,
Saint Albans Police Department,-9.0,Local police department,WV,Kanawha,Saint Albans,25177,54039,,
Webster Police Department,-9.0,Local police department,NH,Merrimack,Webster,3303,33013,,
Burton Police Department,-9.0,Local police department,TX,Washington,Burton,77835,48477,,
Warren Park Police,-9.0,Local police department,IN,Marion,Indianapolis,46219,18097,,
Mound City Police Dept,-9.0,Local police department,IL,Pulaski,Mound City,62963,17153,,
Cheltenham Township Police Department,-9.0,Local police department,PA,Montgomery,Elkins Park,19027,42091,,
Woodward Police Department,-9.0,Local police department,OK,Woodward,Woodward,73801,40153,,
Camas County Sheriff's Office,-9.0,Sheriff's office,ID,Camas,Fairfield,83327,16025,,
Franklin Police Department,-9.0,Local police department,LA,St. Mary,Franklin,70538,22101,,
Negaunee Police Department,-9.0,Local police department,MI,Marquette,Negaunee,49866,26103,,
Aulander Police Department,-9.0,Local police department,NC,Bertie,Aulander,27805,37015,,
Dillon Police Department,-9.0,Local police department,SC,Dillon,Dillon,29536,45033,,
Tower City Borough Police Department,-9.0,Local police department,PA,Schuylkill,Tower City,17980,42107,,
Danvers Police Department,-9.0,Local police department,MA,Essex,Danvers,1923,25009,,
Braddock Borough Police Department,-9.0,Local police department,PA,Allegheny,Braddock,15104,42003,,
Nassau Village Police Department,-9.0,Local police department,NY,Rensselaer,Nassau,12123,36083,,
Nescopeck Borough Police Department,-9.0,Local police department,PA,Luzerne,Nescopeck,18635,42079,,
Conyngham Township Police Department,-9.0,Local police department,PA,Columbia,Wilburton,17888,42037,,
Lauderdale Lakes Law Enforcement Patrol,-9.0,Local police department,WI,Walworth,Darien,53114,55127,,
Houghton Police Department,-9.0,Local police department,MI,Houghton,Houghton,49931,26061,,
North Salem Town Police Department,-9.0,Local police department,NY,Westchester,North Salem,10560,36119,,
Ozark Police Department,-9.0,Local police department,MO,Christian,Ozark,65721,29043,,
Main Township Police Department,-9.0,Local police department,PA,Columbia,Bloomsburg,17815,42037,,
Windsor Police Department,-9.0,Local police department,MA,Berkshire,Windsor,1270,25003,,
Lennon Police Department,-9.0,Local police department,MI,Shiawassee,Lennon,48449,26155,,
Carbondale Township Police Department,-9.0,Local police department,PA,Lackawanna,Carbondale,18407,42069,,
Mount Eaton Police Department,-9.0,Local police department,OH,Wayne,Mount Eaton,44659,39169,,
Mahanoy Township Police Department,-9.0,Local police department,PA,Schuylkill,Mahanoy City,17948,42107,,
Raymond Police Department,-9.0,Local police department,WA,Pacific,Raymond,98577,53049,,
Arcadia Police Department,-9.0,Local police department,KS,Crawford,Arcadia,66711,20037,,
Byron Police Department,-9.0,Local police department,MI,Shiawassee,Byron,48418,26155,,
Fishkill Village Police Department,-9.0,Local police department,NY,Dutchess,Fishkill,12524,36027,,
Cowen Police Department,-9.0,Local police department,WV,Webster,Cowen,26206,54101,,
Lapaz Police,-9.0,Local police department,IN,Marshall,Lapaz,46537,18099,,
East Bangor Police Department,-9.0,Local police department,PA,Northampton,Bangor,18013,42095,,
Douglas County Sheriff's Office,-9.0,Sheriff's office,CO,Douglas,Castle Rock,80109,8035,,
Northfield Police Department,-9.0,Local police department,KY,Jefferson,Louisville,40425,21111,,
Incline Village Constable,-9.0,Local police department,NV,Washoe,Incline Village,89451,32031,,
Tidioute Borough Police Department,-9.0,Local police department,PA,Warren,Tidioute,16351,42123,,
Stockertown Borough Police,-9.0,Local police department,PA,Northampton,Stockertown,18083,42095,,
Uniontown Police Department,-9.0,Local police department,WA,Whitman,Uniontown,99179,53075,,
New Era Police Department,-9.0,Local police department,MI,Oceana,New Era,49446,26127,,
Hill Police Department,-9.0,Local police department,NH,Merrimack,Hill,3243,33013,,
Bernville Borough Police Department,-9.0,Local police department,PA,Berks,Bernville,19506,42011,,
Belle Police Department,-9.0,Local police department,MO,Maries,Belle,65013,29125,,
Marion Center Borough Police Department,-9.0,Local police department,PA,Indiana,Marion Center,15759,42063,,
