agency_name,addr1,addr2
Humphreys County Sheriff's Office,112 THOMPSON STREET, 
Humphreys County Sheriff's Office,106 Castleman St, 
Hunt County Constable Pct. 1,Ste 435,2801 Stewart street
Hunt County Constable Pct. 2,P.O. Box 411, 
Hunt County Constable Pct. 4,Po Box 494, 
Hunt County Sheriff's Office,2801 Stuart St, 
Hunter Town Police Department,Town Hall,Box 70
Hunterdon County Park Rangers,P.O. Box 2900, 
Hunterdon County Prosecutor's Chief,65 Park Avenue,P.O. Box 756
Hunterdon County Sheriff's Office,71 Main St,PO Box 2900
Huntersville Police Department,Po Box 664, 
Hunting Valley Police Department,38251 Fairmount Blvd., 
Huntingburg Police,503 East 1St Street,Post Office Box 10
Huntingdon Borough Police Department,530 Washington Street, 
Huntingdon County Sheriff's Office,241 Mifflin St, 
Huntingdon Police Department,P.O. Box 668, 
Huntington Bay Village Police Department,244 Vineyard Road, 
Huntington Beach Police Department,2000 Main Street, 
Huntington County Sheriff's Office,332 E State St, 
Huntington I.S.D. Police Dept.,P. O. Box 328 908 Main St., 
Huntington Park Police Department,6542 Miles Avenue, 
Huntington Police,300 Cherry Street, 
Huntington Police Department,675 Tenth Street, 
Huntington Police Department,P. O. Drawer 349, 
Huntington Police Department,Po Box 446, 
Huntington Woods Dept of Public Safety,12755 W Eleven Mile Rd, 
Huntland Police Department,Drawer H, 
Huntley Police Dept,P.O. Box 776,11351 Allison Ct
Huntsville - Madison Airport Police Department,1000 Glenn Hearn Boulevard, 
Huntsville Police Department,Post Office Box 2085, 
Huntsville Police Department,1220 11Th Street, 
Huntsville Police Department,P.O. Box 549, 
Huntsville Police Department,205 S Main Street, 
Hurley Police Department,P.O. Box 65, 
Hurley Police Department,201 S Walnut, 
Hurley Police Department,405 Fifth Avenue North, 
Hurlock Police Department,Po Box 740, 
Huron Clinton Metropolitan Authority Police Dept,13000 High Ridge Drive, 
Huron County Sheriff's Office,120 S Heisterman St, 
Huron County Sheriff's Office,255 Shady Lane Dr, 
Huron Police Department,Po Box 1369,239 Wisconsin Avenue SW
Huron Police Department,P.O. Box 468,417 Main Street
Huron Township Police Department,36500 S Huron Rd, 
Hurricane Police Department,3255 Teays Valley Road, 
Hurricane Police Department,58 North 200 East, 
Hurst Police Department,1501 Precinct Line Rd., 
Hurst Police Dept,P. O. Box 189, 
Hurstbourne Acres Police Department,1940 1/2 South Hurstbourne Parkway, 
Hurt Police Department,P.O. Box 760, 
Hustisford Police Department,210 South Lake,P.O. Box 345
Hustonville Police Department,P.O. Box 110, 
Hutchins Police Department,205 W Hickman, 
Hutchinson County Constable Pct. 2,"1400 Veta, Room 105", 
Hutchinson County Sheriff's Office,140 Euclid St Rm 123, 
Hutchinson County Sheriff's Office,1400 Veta St,PO Box 1426
Hutchinson Police Department,210 W First St, 
Hutchinson Police Department,10 Franklin St. Sw., 
Huttig Police Department,204 Frost Street, 
Hutto Police Department,401 W Front St, 
Huxley Police Department,515 N Main, 
Hyattsville Police Department,4310 Gallatin St., 
Hyde County Sheriff's Office,Po Box 521, 
Hyde County Sheriff's Office,Po Box 189, 
Hyde Park Town Police Department,1433 Route 9G, 
Hyden Police Department,P.O. Box 972, 
Hydro Police Department,P. O. Box 13, 
Iaeger Police Department,Post Office Box 428, 
Iberia Parish Sheriff's Office,300 S Iberia St Ste 120, 
Iberia Police Department,Po Box 211, 
Iberville Parish Sheriff's Office,Po Box 231,58050 Meriam St
Ida County Sheriff's Office,401 Moorehead St, 
Ida Police Department,Po Box 299, 
Idabel Police Department,207 S. Central, 
Idaho City Police Department,City Hall, 
Idaho County Sheriff's Office,320 W Main St, 
Idaho Falls Police Department,Po Box 50220, 
Idaho Fish & Game Dept. - Law Enforcement,P.O. Box 25, 
Idaho Springs Police Department,P O Box 907, 
Idaho State Police,700 S. Stratford Drive, 
Idalou Police Department,P. O. Box 1277, 
Ideal Police Department,P.O. Box 9, 
Ider Police Department,Post Office Box 72, 
Ignacio Police Department,P O Box 459, 
Ilion Village Police Department,55 First Street, 
Illinois Department of Natural Resources,1 Natural Resources Way, 
Illinois Secretary of State Police,110 E. Adams, 
Illinois State Fire Marshal,1035 Stevenson Drive, 
Illinois State Police,Po Box 19461, 
Illinois State University Police,Campus Box 9240,718 W. College Ave.
Imlay City Police Department,335 E. 3rd St., 
Imperial County Sheriff's Office,328 Applestille Rd,PO Box 1040
Imperial Police Department,424 S. Imperial Avenue, 
Imperial Police Dept,P.O. Box 637, 
Incline Village Constable,865 Tahoe Blvd.,Suite 301A
Independence County Sheriff's Office,Po Box 4236,1750 Myers St
Independence Police Department,223 N Memorial Drive, 
Independence Police Department,5409 Madison Pike, 
Independence Police Department,Po Box 7, 
Independence Police Department,136 E. Main St.,P.O. Box 99
Independence Police Department,23688 Adams Street,P.O. Box 188
Independence Police Department,120 N Sixth St, 
Independence Police Department,6800 Brecksville Road, 
Independence Police Department,210 5Th Ave Ne, 
Independence Police Department,Po Box 35, 
Independence Township Police Dep,104 School Rd, 
Independnece Township Police,286 B. Rt. 46,P.O. Box 8
Indialantic Police Department,220 Fifth Avenue, 
Indian Beach Police Department,Po Box 316, 
Indian Creek Village Public Safety,9080 Bay Drive, 
Indian Harbour Beach Police Departmen,40 Cheyenne Court, 
Indian Head Park Police Dept,201 Acacia Dr., 
Indian Hill Police Department,6525 Drake Road, 
Indian Hills Police Department,3738 River Rd., 
Indian Lake Borough Police Department,1301 Causeway Drive, 
Indian Lake Police Department,P. O. Box 552, 
Indian Point Police Department,3 Treehouse Lane #11, 
Indian River County Sheriff's Office,Human Resources,4055 41st AVENUE
Indian River Shores Public Safety Dept,6001 No. Highway A1A, 
Indian Shores Police Department,19305 Gulf Boulevard, 
Indiana Borough Police Department,80 N 8Th Street, 
Indiana County Detective Bureau,825 Philadelphia St,"Courthouse, 3rd Floor"
Indiana County Sheriff's Office,825 Philadelphia St, 
Indiana Deaf School Police,1200 East 42Nd Street, 
Indiana Department of Natural Resources,Law Enforcement Division,402 W. Washington St. Room W255D
Indiana State Excise Police,302 W. Washington St.,"I.G.C.S., Room E112"
Indiana State Fire Marshal,402 W. Washington St., 
Indiana State Police,100 N. Senate Avenue Igcn 301, 
Indiana State University Police,210 North 6Th Street, 
Indiana Township Police Dept.,3710 Saxonburg Blvd, 
Indiana University - Fort Wayne Police,"2101 Coliseum Blvd., East", 
Indiana University - Indianapolis Police,1232 W. Michigan Street, 
Indiana University - Kokomo Police,2300 S Washington, 
Indiana University - Richmond Police,2325 Chester Boulevard, 
Indiana University - South Bend Police,1700 Mishawaka Avenue, 
Indiana University Northwest Police Dep,3400 Broadway,INDIANA UNIVERSITY NORTHWEST POLICE DEPARTMENT
Indiana University Police Department,1469 East 17th Street, 
Indiana University Southeast University Police,4201 Grant Line Road, 
Indiana University of Pennsylvania Police,University Towers,850 Maple Street
Indianapolis Airport Authority Police,7800 Col H. Weir Cook Memorial Dr., 
Indianapolis Housing Police,1919 North Meridian Street, 
Indianapolis Park Rangers,5901 Delong Road, 
Indianapolis Police,50 North Alabama Street, 
Indianapolis Public Schools Police,1129 East 16Th Street, 
Indianola Police Department,Po Box 299, 
Indianola Police Department,Post Office Box 269, 
Indio Police Department,46-800 Jackson Street, 
Industry Borough Police Department,P.O. Box 249,1620-B Midland Beaver Rd
Inez Police Department,P.O. Box 540, 
Ingalls Police,247 North Meridian Street,P. O. Box 277
Ingham County Sheriff's Office,630 N Cedar St, 
Ingleside Police Department,2425 8Th Street, 
Inglewood Police Department,One Manchester Blvd., 
Inglewood Unified School District Police,401 S. Inglewood Ave, 
Inglis Police Department,26 Highway 40 West, 
Ingram Borough Police Department,40 W Prospect Ave, 
Ingram City Marshal's Office,226 Highway 39, 
Inkster Police Department,27301 S River Park Dr, 
Inlet Town Police Department,Inlet Municipal Building,160 Route 28
Inman Police Department,Po Box 177, 
Inman Police Department,20 South Main Street, 
Inola Police Department,P. O. Box 249, 
Interlachen Police Department,311 Atlantic Avenue, 
Interlaken Borough Police,100 Grassmere Avenue, 
International Falls Police Department,715  4Th St.,LAW ENFORCEMENT CENTER
Inver Grove Heights Public Safety Dept,8150 Barbara Ave., 
Inverness Police Department,Post Office Box 166, 
Inyo County Sheriff's Office,550 S. Clay St,PO Box S
Iola Police Department,Po Box 391, 
Iola Police Department,180 South Main,P.O. Box 312
Ione Police Department,#1 East Main Street, 
Ionia County Sheriff's Office,133 E Adams St, 
Ionia Dept of Public Safety,239 E Adams St, 
Iosco County Sheriff Department,428 West Lake Street, 
Iota Police Department,Po Box 890, 
Iowa City Police Department,410 E Washington, 
Iowa County Sheriff's Office,960 Franklyn Ave, 
Iowa County Sheriff's Office,1205 N Bequette St, 
Iowa Department of Natural Resources - Bureau of Law Enforcement,Wallace Building,502 E. 9th Street
Iowa Department of Natural Resources.- Parks Division,Wallace Building,502 E 9TH ST
Iowa Department of Public Safety,215 E. 7th Street, 
Iowa Department of Transportation - Motor Vehicle Division,100 E Euclid Ave,6310 SE CONVENIENCE
Iowa Falls Police Department,Po Box 698, 
Iowa Park C.I.S.D. Police Dept.,P. O. Box 898, 
Iowa Park Police Department,P. O. Box 190, 
Iowa Police Department,Po Box 1707, 
Iowa State University Police,55 Armory Bldg, 
Iowa Tribal Police Department,3313 Thrasher Rd, 
Iowa Tribal Police Department,Rt. 1 Box 722, 
Ipswich Police Department,15 Elm St, 
Iredell County Sheriff's Office,Po Box 287, 
Irion County Sheriff's Office,Po Box 859,209 N Park View
Irmo Police Department,Po Box 406, 
Iron County Sheriff's Office,2132 N Main St, 
Iron County Sheriff's Office,220 S Shepherd St,PO Box 165
Iron County Sheriff's Office,"2 S 6Th St, Ste 18", 
Iron County Sheriff's Office,300 Taconite St Ste 226, 
Iron Gate Police Department,P.O. Box 199, 
Iron Mountain Lake Police Department,591 N Lakeshore Dr, 
Iron Mountain Police Department,111 East Fleshiem St, 
Iron Ridge Police Department,205 Park Street,P.O. Box 322
Iron River Police Department,106 West Genesee, 
Iron River Police Department,8275 East Mill Street, 
Irondale Police Department,101 20Th Street South, 
Irondequoit Town Police Department,1300 Titus Avenue, 
Ironton Police Department,123 N Main Street, 
Ironton Police Department,P.O. Box 704,301 S. Third Street
Ironwood Dept of Public Safety,123 West Mcleod Ave, 
Iroquois County Sheriff's Office,550 S 10Th St,PO Box 67
Irvine Police Department,One Civic Center Plaza, 
Irvine Police Department,101 Chestnut Street, 
Irving City Marshal's Office,P.O. Box 152288, 
Irving Police Department,Po Box 152288, 
Irvington Police,1 Civic Square, 
Irvington Police Department,P.O. Box 374, 
Irvington Police Dept,Box 516, 
Irvington Village Police Department,85 Main Street, 
Irwin Borough Police Department,424 Main Street, 
Irwin County Sheriff's Office,400 S Irwin Ave, 
Irwindale Police Department,5050 N. Irwindale Avenue, 
Irwinton Police Department,Post Office Box 359, 
Isabella County Sheriff's Office,207 N Court St, 
Isanti County Sheriff's Office,509 18Th Ave Sw, 
Isanti Police Department,401 1St Avenue  N,PO BOX 428
Ishpeming Police Department,100 East Division St, 
Ishpeming Township Police Department,1575 U S 41 West, 
Island County Sheriff's Office,Po Box 5000,101 NE 6th St
Island Heights Police,P.O. Box 177, 
Island Lake Police Dept,PO Box 450, 
Isle Police Department,P.O. Box 555, 
Isle of Palms Police Department,Po Box 508, 
Isle of Wight County Sheriff's Office,Po Box 75,"17110 Monument, Ste C"
Isleta Tribal Police Department,P.O. Box 699, 
Isleton Police Department,P.O. Box 716, 
Islip Harbor Police,401 Main Street, 
Isola Police Department,Post Office Box 194, 
Issaquah Police Department,Po Box 1307, 
Issaquena County Sheriff's Office,Po Box 147, 
Italy Police Department,P. O. Box 840, 
Itasca County Sheriff's Office,440 Ne 1St Ave, 
Itasca Police Department,126 N. Hill St., 
Itasca Police Dept,540 W. Irving Park Road, 
Itawamba Community College - Fulton Campus Police,602 West Hill Street, 
Itawamba Community College - Tupelo Campus Police,2176 South Eason Boulevard, 
Itawamba County Sheriff's Office,304 W Wiygul St Ste D, 
Ithaca Police Department,120 East Clinton Street,P.O. Box 6557
Ithaca Police Department,122 North Maple St, 
Itta Bena Police Department,Post Office Box 572, 
Iuka Police Department,118 South Pearl Street, 
Iuka Police Dept,P. O. Box 171, 
Iva Police Department,Po Box 188, 
Ivanhoe Police Department,401 North Harold,P.O. BOX 67
Ivey Police Department,148 Highway 243, 
Ivins Public Safety Department,55 North  Main,90 West Center
Ivyland Borough Police Department,991 Pennsylvania Avenue, 
Izard County Sheriff's Office,Po Box 370, 
J. Sargeant Reynolds Community College Police,P.O. Box 85622, 
Jacinto City Police Department,10429 Market St. Rd., 
Jack County Constable Pct. 1,100 Main Street #101, 
Jack County Sheriff's Office,1432 Post Oak Rd, 
Jacksboro Police Department,P.O. Box 75, 
Jacksboro Police Department,112 W. Belknap St., 
Jackson Center Police Department,110 S Linden St, 
Jackson County Constable Pct. 1,115 W. Main  Room 100 Courthouse, 
Jackson County Constable Pct. 2,PO Box 703, 
Jackson County Marshal's Office,P.O. Box 751, 
Jackson County Parks & Recreation,22807 Woods Chapel Road, 
Jackson County Sheriff's Office,212 W Wesley St, 
Jackson County Sheriff's Office,3310 Ne Rennau Dr, 
Jackson County Sheriff's Office,30 N 3Rd St, 
Jackson County Sheriff's Office,Po Box 647,2nd & Elm St
Jackson County Sheriff's Office,Po Box 275,620 Hospital Dr
Jackson County Sheriff's Office,787 W 8Th St, 
Jackson County Sheriff's Office,Po Box 426,US 421 N
Jackson County Sheriff's Office,1001 Mulberry St, 
Jackson County Sheriff's Office,Po Box 106, 
Jackson County Sheriff's Office,399 Grindstaff Cove Rd, 
Jackson County Sheriff's Office,115 W Main St Ste 104, 
Jackson County Sheriff's Office,210 Us Highway 75, 
Jackson County Sheriff's Office,400 Sherman St,Box 229
Jackson County Sheriff's Office,Po Box 98, 
Jackson County Sheriff's Office,150 E. Sr 250, 
Jackson County Sheriff's Office,350 Portsmouth St Ste 102, 
Jackson County Sheriff's Office,Po Box 565,396 LaFever
Jackson County Sheriff's Office,100 N Hudson St, 
Jackson County Sheriff's Office,Po Box 127,700 Main St
Jackson County Sheriff's Office,104 S Niagara St, 
Jackson County Sheriff's Office,County Courthouse,102 E Laurel St
Jackson County Sheriff's Office,Po Box 998, 
Jackson County Sheriff's Office,4012 Lafayette St,PO Box 919
Jackson International Airport Authority Police Dept,"Post Office Box 98109, Suite 300", 
Jackson Parish Sheriff's Office,500 E Court St Rm 100, 
Jackson Police Department,234 Institute St., 
Jackson Police Department,Post Office Box 95, 
Jackson Police Department,199 Portsmouth Street, 
Jackson Police Department,333 Broadway, 
Jackson Police Department,1000 Hwy 71 N, 
Jackson Police Department,216 East Washington, 
Jackson Police Department,N168W20733 Main St,P.O. Box 637
Jackson Police Department,Po Box 386, 
Jackson Police Department,Po Box 187, 
Jackson Police Department,Post Office Box 17, 
Jackson Police Department,525 S Hope Street, 
Jackson Police Department,Po Box 614, 
Jackson Police Department,33D Broadway, 
Jackson Police Department,Po Box 1150, 
Jackson Police Department,116 Byars Street, 
Jackson Police Department,Box 1687, 
Jackson State University Department of Public Safety,Post Office Box 17025, 
Jackson Township Police,102 Jackson Drive, 
Jackson Township Police Department,10613 Mahoning Avenue, 
Jackson Township Police Department,513 Pike Road, 
Jackson Township Police Department,140 Magill Road, 
Jackson Township Police Department,49 East Walnut Street, 
Jackson Township Police Department,7383 Fulton Drive Nw, 
Jackson Township Police Department,2211 Huntsville Road, 
Jacksons Gap Police Department,Post Office Box 162, 
Jacksonville Aviation Authority Police,Post Office Box 18018, 
Jacksonville Beach Police Department,101 South Penman Road, 
Jacksonville I.S.D. Police Dept.,1210 Corinth Rd, 
Jacksonville Police Department,Po Drawer 436, 
Jacksonville Police Department,Po Box 7, 
Jacksonville Police Department,East Main Street, 
Jacksonville Police Department,116 Ladiga Street Southeast, 
Jacksonville Police Department,210 West Larissa, 
Jacksonville Police Department,34 South 6Th Street,P.O. Box 92
Jacksonville Police Dept,200 W Douglas, 
Jacksonville Sheriff's Office,501 E Bay St, 
Jacksonville State University Police Department,700 Pelham Road North, 
Jaffrey Police Department,26 Main Street, 
Jal Police Department,P.O. Drawer W, 
Jamaica Beach Police Department,P. O. Box 5264, 
James City County Police Dept.,P.O. Box 8784, 
James Madison University Police Department,Msc 6810,821 S. Main Street
Jamesburg Police,131 Perrineville Road, 
Jamestown Police,421 E. Main Street,Post Office Box 165
Jamestown Police Department,201 East 2Nd Street, 
Jamestown Police Department,250 Conanicus Avenue, 
Jamestown Police Department,P.O. Box 670, 
Jamestown Police Department,84 Seaman Drive, 
Jamestown Police Department,P.O. Box 587, 
Jamestown Police Department,205 6Th St Se, 
Jamestown Police Department,Po Box 145, 
Jamestown Skallam Tribal Fish & Game Enforcement,1033 Old Blyn Highway, 
Janesville Police Department,101 N. Mott Street,P.O. BOX O
Janesville Police Department,100 North Jackson Street,P.O. Box 5005
Janesville Police Department,PO BOX 175, 
Jarrell Police Department,P.O. Box 738,PO BOX 738
Jasco-Metropolitan Police Department,653 East Central, 
Jasonville Police,251 West Main St., 
Jasper County Constable Pct. 1,"Rt 7, Box 2264", 
Jasper County Constable Pct. 2,P. O. Box 2526, 
Jasper County Constable Pct. 3,201 East Lavielle, 
Jasper County Constable Pct. 5,88 Hickory, 
Jasper County Constable Pct. 6,P.O. Box 582, 
Jasper County Sheriff's Office,2300 Law Center Dr,PO Box 517
Jasper County Sheriff's Office,1551 Ga Highway 212 W,PO Box 311
Jasper County Sheriff's Office,106 E Morgan St, 
Jasper County Sheriff's Office,Po Box 986,12008 Jacob Smart Blvd
Jasper County Sheriff's Office,2171 N. McKinley Ave., 
Jasper County Sheriff's Office,101 Burch St, 
Jasper County Sheriff's Office,Po Box 464,27th West 8th Ave
Jasper County Sheriff's Office,405 E 5Th St, 
Jasper Police,309 East 6Th Street, 
Jasper Police Department,208 West Hatley Street, 
Jasper Police Department,4460 Main Street, 
Jasper Police Department,555 S. Main St., 
Jasper Police Department,1610 Alabama Avenue, 
Jasper Police Department,121 E Grand, 
Jasper Police Department,200 Burnt Mountain Road, 
Jasper Police Department,P.O. Box 434, 
Jay County Sheriff's Office,224 W Water St, 
Jay Police Department,340 Main St, 
Jay Police Department,Drawer 348, 
Jean Lafitte Police Dept.,2654 Jean Lafitte Blvd., 
Jeanerette Police Department,1437 Main St., 
Jeannette Police Department,110 South Second Street, 
Jeff Davis County Constable Pct. 1,P. O. Box  636, 
Jeff Davis County Sheriff's Office,15 Public Safety Dr,PO Box 237
Jeff Davis County Sheriff's Office,105 Court Ave,PO Box 1061
Jefferson City Police Department,401 Monroe Street, 
Jefferson City Police Department,P. O. Box 530, 
Jefferson County Constable Pct. 1,"1001 Pearl, Room 103", 
Jefferson County Constable Pct. 2,Sub Courthouse 525 Lake Shore Drive, 
Jefferson County Constable Pct. 4,19217 Fm 365, 
Jefferson County Constable Pct. 6,"1225 Pearl St., Suite 101-A", 
Jefferson County Constable Pct. 7,"7933 Viterbo Rd.,  Suite 5", 
Jefferson County Constable Pct. 8,525 Lakeshore Dr., 
Jefferson County Schools Police Department,3001 Crittenden Dr., 
Jefferson County Sheriff's Office,218 N Main St, 
Jefferson County Sheriff's Office,Ste 100,102 Industrial Blvd
Jefferson County Sheriff's Office,Po Box 915,938 Industrial Park Rd
Jefferson County Sheriff's Office,2200 8Th Ave N, 
Jefferson County Sheriff's Office,16001 State Route 7, 
Jefferson County Sheriff's Office,911 Casey Ave, 
Jefferson County Sheriff's Office,1200 W Grimes Ave, 
Jefferson County Sheriff's Office,675 Nw Cherry Ln, 
Jefferson County Sheriff's Office,Po Box 588, 
Jefferson County Sheriff's Office,1360 Walnut St, 
Jefferson County Sheriff's Office,200 Jefferson County Pkwy, 
Jefferson County Sheriff's Office,753 Waterman Dr, 
Jefferson County Sheriff's Office,Po Box 218, 
Jefferson County Sheriff's Office,200 E Fremont Ave,Courthouse
Jefferson County Sheriff's Office,"531 Court Place, Ste 600", 
Jefferson County Sheriff's Office,1001 Pearl St, 
Jefferson County Sheriff's Office,606 3Rd St, 
Jefferson County Sheriff's Office,171 Industrial Park, 
Jefferson County Sheriff's Office,411 S Center Ave, 
Jefferson County Sheriff's Office,510 1St St,PO Box 100
Jefferson County Sheriff's Office,200 Main St, 
Jefferson County Sheriff's Office,Po Box 7837,"100 E Barraque, Ste 112"
Jefferson County Sheriff's Office,317 Walnut St, 
Jefferson County Sheriff's Office,Po Box 72, 
Jefferson County Sheriff's Office,79 Elkins Rd, 
Jefferson Davis County Sheriff's Office,Po Box 339, 
Jefferson Davis Parish Sheriff's Office,Po Box 863, 
Jefferson Hills Borough Police Department,925 Old Clairton Rd,925 OLD CLAIRTON ROAD
Jefferson I.S.D. Police Dept.,1600 Martin Luther King Dr., 
Jefferson Parish Sheriff's Office,1233 Westbank Expy Bldg B,5th Floor
Jefferson Police Department,102 N. Polk Street, 
Jefferson Police Department,27 East Jefferson Street, 
Jefferson Police Department,140 Mahaffey Street, 
Jefferson Police Department,Po Box 276,208 Main Street
Jefferson Police Department,204 S Chestnut, 
Jefferson Police Department,Po Box 67, 
Jefferson Police Department,425 Collins Road, 
Jefferson State Community College Police Department,Jefferson State College, 
Jefferson Township Police,1033 Weldon Road, 
Jefferson Township Police Department,731 Cliff Drive, 
Jefferson Township Police Department,7407 Lamor Road, 
Jeffersontown Police Department,10410 Taylorsville Rd., 
Jeffersonville Police,500 Quartermaster Court, 
Jeffersonville Police Dept,P.O. Box 223, 
Jellico Police Department,410 Main Street, 
Jemez Pueblo Tribal Police Department,P.O. Box 100, 
Jemez Springs Police Department,P.O. Box 269, 
Jemison Police Department,Post Office Box 609, 
Jena Police Department,Po Box 1775, 
Jenkins County Sheriff's Office,Po Box 857,112 S Masonic St
Jenkins Police Department,P.O. Box 568, 
Jenkins Township Police Department,46 1/2 Main St., 
Jenkintown Borough Police Department,700 Summit Ave, 
Jenks Police Department,P.O. Box 2007, 
Jenks Public Schools Campus Police,205 E. B Street, 
Jennings County Sheriff's Office,925 S State St, 
Jennings Police Department,P. O. Box 340, 
Jennings Police Department,Po Box 1249, 
Jennings Police Department,Post Office Box 209, 
Jennings Police Department,5445 Jennings Station Road, 
Jerauld County Sheriff's Office,Po Box 453,205 S Wallace Ave
Jermyn Borough Police Department,440 Jefferson Ave, 
Jerome County Sheriff's Office,300 N Lincoln Ave Ste 206, 
Jerome Police Department,124 S Lincoln, 
Jerome Police Department,P. O. Box 335, 
Jerome Police Dept,1610 Reed Ave, 
Jersey City Police,8 Erie Street, 
Jersey County Sheriff's Office,114 N Washington St, 
Jersey Shore Police Department,129 S. Pennsylvania Ave, 
Jersey Village Police Department,16401 Lakeview Dr, 
Jerseyville Police Dept,200 S Jefferson, 
Jessamine County Sheriff's Office,101 S 2Nd St, 
Jessup Borough Police Department,395 Lane Street, 
Jesup Police Department,1355 West Orange Street, 
Jesup Police Department,Po Box 592, 
Jewell County Sheriff's Office,307 N Commercial St, 
Jewell Police Department,Po Box 486, 
Jewett Police Department,P.O. Box 192, 
Jewett Police Department,P.O. Box 189, 
Jicarilla Apache Tribal Police Dept.,P.O. Box 890, 
Jicarilla Tribal Natural Resources,P.O. Box 313, 
Jim Hogg County Constable Pct. 4,506 W David, 
Jim Hogg County I.S.D. Police Dept.,210  West Lucile, 
Jim Hogg County Sheriff's Office,211 E Galbraith St, 
Jim Thorpe Borough Police Department,421 North Street, 
Jim Wells County Constable Pct. 1,200 N. Almond, 
Jim Wells County Constable Pct. 3,510 Starcke, 
Jim Wells County Constable Pct. 6,229 County Road, 
Jim Wells County Sheriff's Office,300 N Cameron St,PO Box 1286
Jo Daviess County Sheriff's Office,330 N Bench St, 
John A. Logan College Police Dept,700 Logan College Road, 
John Day Police Department,450 E. Main Street, 
John H. Stroger Hospital Police,1901 W Harrison Street, 
John Wood Community College Police Dept,1301 S 48Th Street, 
Johnny Appleseed Metropolitan Park District Police,2355 Ada Road, 
Johns Creek Police Department,11445 Johns Creek Pky Ste 200, 
Johnsburg Police Dept,3611 Chapel Hill Road, 
Johnson City Police Department,P.O. Box 159, 
Johnson City Police Department,P.O. Box 2150, 
Johnson City Village Police Department,31 Avenue C, 
Johnson County Community College Dept of Public Safety,"12345 College Blvd, Cc115 Box 12", 
Johnson County Constable Pct. 1,1800 Ridgemar, 
Johnson County Constable Pct. 2,247 Nw Elk Drive, 
Johnson County Constable Pct. 3,118 S. Friou, 
Johnson County Constable Pct. 4,"#2 North Main, Rm. 112", 
Johnson County Park Police,7900 Renner Rd, 
Johnson County Sheriff's Office,1091 Hospital Rd,PO Box 609
Johnson County Sheriff's Office,339 Main St, 
Johnson County Sheriff's Office,230 DONOVAN-HARRISON RD, 
Johnson County Sheriff's Office,125 N Cherry St, 
Johnson County Sheriff's Office,999 Honeysuckle St, 
Johnson County Sheriff's Office,1102 E Kilpatrick St, 
Johnson County Sheriff's Office,Po Box 546, 
Johnson County Sheriff's Office,222 S 4Th St,PO Box 335
Johnson County Sheriff's Office,639 Fort St, 
Johnson County Sheriff's Office,Po Box 39,301 Porter Industrial Rd
Johnson County Sheriff's Office,135 W Market St, 
Johnson County Sheriff's Office,511 S Capitol St,PO Box 2540
Johnson Creek Police Department,119 Depot Street,P.O. Box 451
Johnson Police Department,Box 563, 
Johnsonburg Borough Police Department,100 Main Street, 
Johnsonville Police Department,Po Box 428, 
Johnston City Police Dept,500 Washington, 
Johnston County Sheriff's Office,110 North Capital Ave, 
Johnston County Sheriff's Office,Po Box 1809, 
Johnston Police Department,1651 Atwood Avenue, 
Johnston Police Department,500 Mims Avenue, 
Johnston Police Department,Po Box 410, 
Johnstown Police Department,33-41 East Main Street, 
Johnstown Police Department,P O Box 919, 
Johnstown Police Department,401 Washington Street, 
Johnstown Police Department,599 South Main Street,P.O. Box 457
Joiner Police Department,104 Gin Street, 
Joliet Junior College Police Dept,1216 Houbolt Rd, 
Joliet Police Department,Po Box H, 
Joliet Police Dept,150 West Washington Street, 
Jones County Constable,203 E. Campbell St., 
Jones County Junior College Police Department,900 South Court Street, 
Jones County Sheriff's Office,Po Box 874,123 Holmes Hawkins Dr
Jones County Sheriff's Office,Po Box 267, 
Jones County Sheriff's Office,Po Box 95, 
Jones County Sheriff's Office,500 W Main St,PO Box 167
Jones County Sheriff's Office,1100 11Th St,PO Box 821
Jones County Sheriff's Office,Po Box 185,419 Yates Ave
Jones Creek Police Department,7207 Stephen F Austin Rd, 
Jones Creek Police Department,7207 Stephen F Austin Rd, 
Jones Police Department,P. O. Box 720, 
Jonesboro Police,414 South Main Street, 
Jonesboro Police Department,100 4Th St., 
Jonesboro Police Department,170 S. Main Street, 
Jonesboro Police Department,410 W Washington Ave, 
Jonesboro Police Dept,103 North Main St, 
Jonesborough Police Department,123 Boone St., 
Jonesburg Police Department,Po Box 256, 
Jonestown Police Department,18301B Park Drive, 
Jonestown Police Department,Post Office Box 110, 
Jonesville Police Department,265 E Chicago Street, 
Jonesville Police Department,Po Box 785, 
Jonesville Police Department,1503 NC Hwy 67, 
Jonesville Police Department,304 Mound St., 
Jonesville Police Department,One Park Street,P.O. Box 190
Joplin Police Department,303 E Third Street, 
Joppa Police Department,"P.O. Box 99, North Avenue", 
Jordan Police Department,210 E. 1St St., 
Jordan Village Police Department,7 Mechanic Street,P.O. Box 561
Josephine County Sheriff's Office,500 Nw 6Th St, 
Josephine Police Department,Po Box 99, 
Joshua Police Department,102 S. Main, 
Jourdanton Police Department,1212-A Simmons Avenue, 
Juab County Sheriff's Office,425 W Sheeplane Dr, 
Judith Basin County Sheriff's Office,Po Box 427, 
Judson I.S.D. Police Dept.,210 School St., 
Judsonia Police Department,P.O. Box 306, 
Junction City Police Department,P.O. Box 326, 
Junction City Police Department,672 Greenwood Street, 
Junction City Police Department,210 E Ninth St, 
Junction City Police Department,P.O. Box 105,111 West Front Street
